统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
230,22605438159,22605519234,22605441138,22605511943,3288.270895,12.667283,22670.498607,87.332717,14.504625,689.435248
231,22605519241,22605606997,22605522342,22605597486,4038.137539,14.371667,24059.769046,85.628333,16.783775,595.813511
232,22605607023,22605694359,22605616334,22605689635,4493.756768,16.070120,23469.673305,83.929880,19.147078,522.272889
233,22605694378,22605781938,22605700682,22605775422,4104.735430,14.641389,23930.415449,85.358611,17.152796,582.995320
234,22605781956,22605869301,22605788380,22605860125,4994.841865,17.860210,22971.469847,82.139790,21.743676,459.903846
235,22605869318,22605956913,22605878710,22605950997,4901.348671,17.475883,23145.008584,82.524117,21.176698,472.217141
236,22605956934,22606044265,22605963234,22606036394,4537.301543,16.226769,23424.527619,83.773231,19.369874,516.265613
237,22606044287,22606137996,22606053601,22606130349,5430.609800,18.099649,24573.341248,81.900351,22.099599,452.496905
238,22606138014,22606237845,22606147489,22606227978,6192.963549,19.374743,25771.142749,80.625257,24.030613,416.135870
239,22606237863,22606325371,22606247265,22606318646,5163.577869,18.429172,22854.923537,81.570828,22.592847,442.617970
240,22606325393,22606413029,22606331656,22606405729,4342.630783,15.476517,23716.853941,84.523483,18.310315,546.140234
241,22606413052,22606500279,22606419121,22606492087,4566.117938,16.349296,23362.412278,83.650704,19.544719,511.647150
242,22606500302,22606593979,22606509609,22606583305,6397.559956,21.329675,23596.145263,78.670325,27.112733,368.830389
243,22606594000,22606681546,22606603388,22606676413,4649.365303,16.586709,23381.303026,83.413291,19.884971,502.892363
244,22606681563,22606769094,22606687677,22606760985,4553.951016,16.249100,23471.914581,83.750900,19.401702,515.418688
245,22606769112,22606862585,22606778302,22606855131,5329.112052,17.806211,24599.276004,82.193789,21.663695,461.601778
246,22606862608,22606950120,22606868875,22606942000,4606.460892,16.440031,23413.321243,83.559969,19.674530,508.271356
247,22606950137,22607037592,22606959296,22607030227,5290.690191,18.894288,22710.841560,81.105712,23.295879,429.260470
248,22607037616,22607131256,22607043788,22607120227,5507.453521,18.369287,24474.404957,81.630713,22.502911,444.386954
