统计序号,client发送时间(us),client接收时间(us),server发送时间(us),server接收时间(us),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
239,23763736416,23763807413,23763737365,23763805684,857.447854,3.771990,21874.525730,96.228010,3.919847,2551.120239
240,23763807419,23763877966,23763808648,23763876143,977.195985,4.326194,21610.695621,95.673806,4.521816,2211.500655
241,23763877972,23763948065,23763879058,23763946730,775.161036,3.453983,21667.367866,96.546017,3.577551,2795.208591
242,23763948071,23764017948,23763949275,23764016800,753.068466,3.365914,21620.301087,96.634086,3.483154,2870.960884
243,23764017954,23764087911,23764018948,23764086529,760.752838,3.396372,21638.231288,96.603628,3.515781,2844.318182
244,23764087916,23764160620,23764088926,23764159216,772.919760,3.320312,22505.604789,96.679688,3.434343,2911.764706
245,23764160627,23764230645,23764161791,23764229419,765.235388,3.413408,21653.279850,96.586592,3.534039,2829.623431
246,23764230651,23764312599,23764231808,23764311361,766.836299,2.922585,25471.452237,97.077415,3.010572,3321.628392
247,23764312605,23764370012,23764313701,23764368827,730.335532,3.973383,17650.362350,96.026617,4.137793,2416.747041
248,23764370020,23764425743,23764371222,23764424396,816.144353,4.574413,17025.366753,95.425587,4.793696,2086.072970
