统计序号,client发送时间(count),client接收时间(count),server发送时间(count),server接收时间(count),本地总线间隔时间(us),占比百分比(%),服务端间隔时间(us),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
206,78297175451,78297229660,78297176348,78297228210,751.467555,4.329539,16605.287745,95.670461,4.525471,2209.714529
207,78297229666,78297288594,78297231347,78297287017,1043.153513,5.528781,17824.541451,94.471219,5.852344,1708.717004
208,78297288599,78297344918,78297290060,78297343366,964.708881,5.349882,17067.630799,94.650118,5.652272,1769.200133
209,78297344923,78297401362,78297346463,78297399713,1021.060943,5.650348,17049.700598,94.349652,5.988732,1669.802446
210,78297401367,78297457246,78297402963,78297455705,1004.411470,5.613916,16887.048055,94.386084,5.947821,1681.287855
211,78297457252,78297513396,78297458721,78297511876,957.024509,5.323810,17019.283291,94.676190,5.623177,1778.353965
212,78297513401,78297570015,78297514823,78297568317,998.968373,5.511004,17127.825047,94.488996,5.832430,1714.551282
213,78297570021,78297625570,78297571382,78297624498,779.003222,4.379917,17006.796187,95.620083,4.580541,2183.148376
214,78297625577,78297682453,78297626515,78297680939,785.086683,4.311133,17425.594466,95.688867,4.505365,2219.575856
215,78297682468,78297738660,78297683437,78297737247,762.673931,4.239038,17229.002613,95.760962,4.426686,2259.026029
216,78297738667,78297794641,78297739781,78297793337,774.200489,4.319863,17147.676342,95.680137,4.514900,2214.888337
217,78297794649,78297851295,78297797210,78297849526,1386.388800,7.643964,16750.650450,92.356036,8.276627,1208.221709
218,78297851332,78297891614,78297852937,78297890028,1021.701307,7.921652,11875.876899,92.078348,8.603165,1162.362896
219,78297891620,78297946638,78297893020,78297945376,852.324939,4.838417,16763.457737,95.161583,5.084422,1966.791886
220,78297946644,78298000453,78297947818,78297999123,801.736156,4.653497,16426.946275,95.346503,4.880616,2048.921725
221,78298000460,78298054095,78298001518,78298052475,857.447854,4.993008,16315.522880,95.006992,5.255411,1902.800597
222,78298054102,78298110041,78298055549,78298108837,848.802935,4.739091,17061.867520,95.260909,4.974854,2010.109393
