统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%),,单程1,单程2
225,14397098,14397191,14397113,14397145,61,65.591398,32,34.408602,190.625,52.459016,,15,46
226,14397191,14397301,14397238,14397269,79,71.818182,31,28.181818,254.83871,39.240506,,47,32
227,14397301,14397347,14397316,14397347,15,32.608696,31,67.391304,48.387097,206.666667,,15,0
228,14397347,14397441,14397394,14397410,78,82.978723,16,17.021277,487.5,20.512821,,47,31
229,14397441,14397488,14397457,14397488,16,34.042553,31,65.957447,51.612903,193.75,,16,0
230,14397488,14397597,14397535,14397566,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
231,14397597,14397644,14397613,14397628,32,68.085106,15,31.914894,213.333333,46.875,,16,16
232,14397644,14397737,14397675,14397706,62,66.666667,31,33.333333,200,50,,31,31
233,14397737,14397800,14397753,14397784,32,50.793651,31,49.206349,103.225806,96.875,,16,16
234,14397800,14397893,14397831,14397847,77,82.795699,16,17.204301,481.25,20.779221,,31,46
235,14397893,14397940,14397893,14397925,15,31.914894,32,68.085106,46.875,213.333333,,0,15
236,14397940,14398049,14397971,14398003,77,70.642202,32,29.357798,240.625,41.558442,,31,46
237,14398049,14398096,14398049,14398065,31,65.957447,16,34.042553,193.75,51.612903,,0,31
238,14398096,14398190,14398127,14398143,78,82.978723,16,17.021277,487.5,20.512821,,31,47
239,14398190,14398299,14398237,14398268,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
240,14398299,14398346,14398315,14398330,32,68.085106,15,31.914894,213.333333,46.875,,16,16
241,14398346,14398439,14398377,14398408,62,66.666667,31,33.333333,200,50,,31,31
242,14398439,14398486,14398455,14398471,31,65.957447,16,34.042553,193.75,51.612903,,16,15
243,14398486,14398595,14398533,14398549,93,85.321101,16,14.678899,581.25,17.204301,,47,46
244,14398595,14398642,14398595,14398627,15,31.914894,32,68.085106,46.875,213.333333,,0,15
245,14398642,14398736,14398673,14398705,62,65.957447,32,34.042553,193.75,51.612903,,31,31
246,14398736,14398798,14398751,14398767,46,74.193548,16,25.806452,287.5,34.782609,,15,31
247,14398798,14398892,14398814,14398845,63,67.021277,31,32.978723,203.225806,49.206349,,16,47
248,14398892,14398985,14398939,14398970,62,66.666667,31,33.333333,200,50,,47,15
249,14398985,14399048,14399017,14399032,48,76.190476,15,23.809524,320,31.25,,32,16
250,14399048,14399141,14399079,14399110,62,66.666667,31,33.333333,200,50,,31,31
251,14399141,14399188,14399157,14399188,16,34.042553,31,65.957447,51.612903,193.75,,16,0
252,14399188,14399297,14399235,14399251,93,85.321101,16,14.678899,581.25,17.204301,,47,46
253,14399297,14399344,14399297,14399329,15,31.914894,32,68.085106,46.875,213.333333,,0,15
254,14399344,14399438,14399375,14399407,62,65.957447,32,34.042553,193.75,51.612903,,31,31
255,14399438,14399500,14399453,14399469,46,74.193548,16,25.806452,287.5,34.782609,,15,31
256,14399500,14399594,14399531,14399547,78,82.978723,16,17.021277,487.5,20.512821,,31,47
257,14399594,14399641,14399594,14399625,16,34.042553,31,65.957447,51.612903,193.75,,0,16
258,14399641,14399750,14399672,14399687,94,86.238532,15,13.761468,626.666667,15.957447,,31,63
259,14399750,14399797,14399750,14399765,32,68.085106,15,31.914894,213.333333,46.875,,0,32
260,14399797,14399890,14399812,14399843,62,66.666667,31,33.333333,200,50,,15,47
261,14399890,14399999,14399937,14399968,78,71.559633,31,28.440367,251.612903,39.74359,,47,31
262,14399999,14400046,14400015,14400046,16,34.042553,31,65.957447,51.612903,193.75,,16,0
263,14400046,14400140,14400093,14400109,78,82.978723,16,17.021277,487.5,20.512821,,47,31
264,14400140,14400187,14400155,14400187,15,31.914894,32,68.085106,46.875,213.333333,,15,0
265,14400187,14400296,14400233,14400265,77,70.642202,32,29.357798,240.625,41.558442,,46,31
266,14400296,14400343,14400311,14400327,31,65.957447,16,34.042553,193.75,51.612903,,15,16
267,14400343,14400436,14400389,14400405,77,82.795699,16,17.204301,481.25,20.779221,,46,31
268,14400436,14400499,14400452,14400483,32,50.793651,31,49.206349,103.225806,96.875,,16,16
269,14400499,14400592,14400530,14400545,78,83.870968,15,16.129032,520,19.230769,,31,47
270,14400592,14400639,14400608,14400623,32,68.085106,15,31.914894,213.333333,46.875,,16,16
271,14400639,14400748,14400670,14400701,78,71.559633,31,28.440367,251.612903,39.74359,,31,47
272,14400748,14400795,14400748,14400779,16,34.042553,31,65.957447,51.612903,193.75,,0,16
273,14400795,14400889,14400826,14400842,78,82.978723,16,17.021277,487.5,20.512821,,31,47
274,14400889,14400935,14400889,14400920,15,32.608696,31,67.391304,48.387097,206.666667,,0,15
275,14400935,14400998,14400967,14400998,32,50.793651,31,49.206349,103.225806,96.875,,32,0
276,14400998,14401091,14401045,14401060,78,83.870968,15,16.129032,520,19.230769,,47,31
277,14401091,14401138,14401107,14401138,16,34.042553,31,65.957447,51.612903,193.75,,16,0
278,14401138,14401247,14401185,14401201,93,85.321101,16,14.678899,581.25,17.204301,,47,46
279,14401247,14401294,14401263,14401279,31,65.957447,16,34.042553,193.75,51.612903,,16,15
