统计序号,client发送时间(ms),client接收时间(ms),server发送时间(ms),server接收时间(ms),本地总线间隔时间(ms),占比百分比(%),服务端间隔时间(ms),占比百分比(%),对比百分比1 L/S(%),对比百分比2 S/L(%)
309,29509539,29509570,29509539,29509570,0,0.000000,31,100.000000,0.000000,1.000000
310,29509570,29509601,29509570,29509585,16,51.612903,15,48.387097,106.666667,93.750000
311,29509601,29509632,29509601,29509617,15,48.387097,16,51.612903,93.750000,106.666667
312,29509632,29509648,29509632,29509648,0,0.000000,16,100.000000,0.000000,1.000000
313,29509648,29509679,29509648,29509679,0,0.000000,31,100.000000,0.000000,1.000000
314,29509679,29509710,29509679,29509695,15,48.387097,16,51.612903,93.750000,106.666667
315,29509710,29509741,29509710,29509726,15,48.387097,16,51.612903,93.750000,106.666667
316,29509741,29509773,29509741,29509757,16,50.000000,16,50.000000,100.000000,100.000000
317,29509773,29509788,29509773,29509788,0,0.000000,15,100.000000,0.000000,1.000000
318,29509788,29509819,29509804,29509819,16,51.612903,15,48.387097,106.666667,93.750000
319,29509819,29509851,29509819,29509851,0,0.000000,32,100.000000,0.000000,1.000000
